name,Make,variant,price,mileage,Type,Model,Body,Fuel,Other Fuel Types,CO2 Emission,Emission Label,Emission Class,horse power,Displacement,Cylinders,Warranty,Previous Owners,first registration,First Registration,Consumption,consumption_country,consumption_city,Electricity consumption,Gearing Type,Gears,Nr. of Seats,Nr. of Doors,Paint Type,Body Color Original,Body Color,Upholstery,Inspection new,Next Inspection,Last Service Date,Full Service,Last Timing Belt Service Date,Perm. GVW,Drive chain,Model Code,Weight,Non-smoking Vehicle,Country version,Offer Number,url_address
Ford Mondeo,Ford,"*KLIMA-AUTOM.,SHZ,NAVI,XENON,PDC*","€ 1,999.-",174867,Used,Mondeo,Sedans,Diesel (Particulate Filter),,161 g/km (comb),4 (Green),Euro 4,155,"2,198 cc",4,,,07/2005,2005,6.1 l/100 km (comb),4.9 l/100 km (country),8.2 l/100 km (city),,Manual,6,5,4,Metallic,KRISTALLSILBER,Silver,Cloth,,04/2023,01/2021,,,,Front,8566/577,,,Germany,10407223,https://www.autoscout24.com/offers/ford-mondeo-klima-autom-shz-navi-xenon-pdc-diesel-silver-52d0a450-e921-48ec-8ae2-bf70606bb734?cldtidx=1&cldtsrc=listPage&searchId=1964176808
BMW 316,BMW,3er compact guter Zustand Tüv Neu,"€ 1,999.-",146000,Used,316,Sedans,Gasoline,,167 g/km (comb),4 (Green),Euro 4,116,"1,796 cc",4,6 months,,12/2001,2001,6.9 l/100 km (comb),5.3 l/100 km (country),9.7 l/100 km (city),,Manual,5,5,3,Metallic,,Gold,Part leather,Yes,07/2023,07/2021,,,,,0005/716,"1,375 kg",,,,https://www.autoscout24.com/offers/bmw-316-3er-compact-guter-zustand-tuev-neu-gasoline-gold-fc6a052d-c6c3-48ee-b7c1-e3fac3eac0a6?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Dacia Sandero,Dacia,Ambiance 1.HAND CD/RADIO AUX,"€ 1,999.-",86000,Used,Sandero,Sedans,Regular/Benzine 91,,166 g/km (comb),4 (Green),Euro 4,75,"1,390 cc",,,1,05/2009,2009,7 l/100 km (comb),5.4 l/100 km (country),9.6 l/100 km (city),,Manual,,5,4,,Blau,Blue,"Cloth, Black",,12/2022,,,,,,,,,,5476,https://www.autoscout24.com/offers/dacia-sandero-ambiance-1-hand-cd-radio-aux-gasoline-blue-e963800f-6ced-4ee6-9ff5-fa2e17579530?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Volkswagen Polo,Volkswagen,IV Goal 1.4 *Klima*PDC*Radio,"€ 1,999.-",156300,Used,Polo,Compact,Regular/Benzine E10 91,,152 g/km (comb),4 (Green),Euro 4,80,"1,390 cc",,,,10/2006,2006,6.4 l/100 km (comb),5.2 l/100 km (country),8.5 l/100 km (city),,Manual,,5,2,,Schwarz,Black,"Cloth, Black",,05/2022,,,,,,,,,Germany,,https://www.autoscout24.com/offers/volkswagen-polo-iv-goal-1-4-klima-pdc-radio-gasoline-black-f603ca2c-3693-4c2f-a001-d5eac4b079fc?cldtidx=1&cldtsrc=listPage&searchId=1964176808
SEAT Altea,SEAT,1.9 TDi Passion,"€ 2,000.-",250000,Used,Altea,Van,Diesel,,146 g/km (comb),,Euro 4,105,"1,896 cc",4,,1,09/2007,2007,5.4 l/100 km (comb),4.5 l/100 km (country),6.9 l/100 km (city),,Manual,5,5,5,Metallic,,Grey,"Cloth, Grey",,,,,,,Front,,"1,455 kg",,Belgium,,https://www.autoscout24.com/offers/seat-altea-1-9-tdi-passion-diesel-grey-dd051856-1460-4041-acdc-19b4e6d54ea9?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Ford S-Max,Ford,"1.8 TDCi Trend CLIM AUTO, ACCOUDOIR, ATT REM","€ 2,150.-",164200,Used,S-Max,Van,Diesel,,164 g/km (comb),,Euro 4,125,"1,753 cc",4,,,11/2006,2006,6.2 l/100 km (comb),5.2 l/100 km (country),7.9 l/100 km (city),,Manual,6,5,5,Metallic,,Grey,"Cloth, Grey",,,,,,,Front,,"1,744 kg",,,,https://www.autoscout24.com/offers/ford-s-max-1-8-tdci-trend-clim-auto-accoudoir-att-rem-diesel-grey-0a251633-822d-4d50-a8a3-3a0b3e4a4aae?cldtidx=1&cldtsrc=listPage&searchId=1964176808
BMW 320,BMW,"3 TOURING DIESEL TOIT OUV, CLIM AUTO, GPS, ATT REM","€ 2,190.-",294000,Used,320,Station wagon,Diesel,,158 g/km (comb),,Euro 4,163,"1,995 cc",4,,,01/2006,2006,5.9 l/100 km (comb),4.6 l/100 km (country),8.1 l/100 km (city),,Manual,6,5,5,Metallic,,Black,"Part leather, Black",,,,,,,Rear,,"1,580 kg",,,,https://www.autoscout24.com/offers/bmw-320-3-touring-diesel-toit-ouv-clim-auto-gps-att-rem-diesel-black-19f19f59-c36b-46f2-987c-7fdf463d939a?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Opel Zafira,Opel,1.8 *7-Sitzer*Klima*AHK,"€ 2,199.-",200000,Used,Zafira,Van,Regular/Benzine 91,,182 g/km (comb),4 (Green),Euro 4,140,"1,796 cc",4,,2,09/2006,2006,7.6 l/100 km (comb),6.2 l/100 km (country),10.1 l/100 km (city),,Automatic,,7,5,Metallic,,Black,Cloth,,,,,,,Front,0035/AER,"1,503 kg",,,Inz.Ha.Ud.Sch.-12.07,https://www.autoscout24.com/offers/opel-zafira-1-8-7-sitzer-klima-ahk-gasoline-black-14d81629-1c2d-427e-9369-66db4f904e16?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Hyundai Santa Fe,Hyundai,2.4 GLS*Klima*AHK*Velours*,"€ 2,200.-",188363,Used,Santa Fe,Off-Road/Pick-up,Regular/Benzine 91,,234 g/km (comb),4 (Green),Euro 4,145,"2,351 cc",,,,09/2004,2004,9.8 l/100 km (comb),7.9 l/100 km (country),13 l/100 km (city),,Manual,,5,4,,EBONY BLACK+COOL GRA,Black,"Velour, Grey",,06/2022,,,,,,,,,Germany,,https://www.autoscout24.com/offers/hyundai-santa-fe-2-4-gls-klima-ahk-velours-gasoline-black-dbf9b87a-1d33-47cf-a9b7-acd1e2a84713?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Mercedes-Benz E 200,Mercedes-Benz,E 200 KOMPRESSOR T AVANTGARDE,"€ 2,200.-",207000,Used,E 200,Station wagon,Gasoline,,212 g/km (comb),,Euro 4,163,"1,796 cc",,,2,10/2005,2005,8.9 l/100 km (comb),6.8 l/100 km (country),12.4 l/100 km (city),,Manual,,5,4,Metallic,,Black,,,,,,,,,,,,,,https://www.autoscout24.com/offers/mercedes-benz-e-200-e-200-kompressor-t-avantgarde-gasoline-black-cc6e36e6-1246-4b3f-a9ce-a266afadf605?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Kia Ceed / cee'd,Kia,sw 2.0 CRDi TX Klimaautom SHZ Temp PDCv+h PDC,"€ 2,250.-",258000,Used,Ceed / cee'd,Station wagon,Diesel (Particulate Filter),,154 g/km (comb),,Euro 4,140,"1,991 cc",4,,1,09/2008,2008,5.8 l/100 km (comb),4.7 l/100 km (country),7.7 l/100 km (city),,Manual,6,5,5,,carraraweiss,White,Part leather,,06/2021,,,,,Front,1260/AAP,,,,3433k,https://www.autoscout24.com/offers/kia-ceed-cee-d-sw-2-0-crdi-tx-klimaautom-shz-temp-pdcv-h-pdc-diesel-white-3cbc8ad2-bc0d-4fe6-ac9c-fce101e95e80?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Opel Astra,Opel,"H 1.6 GTC Edition Klimaanlage, PDC, Alu","€ 2,280.-",166700,Used,Astra,Coupe,Regular/Benzine 91,,158 g/km (comb),4 (Green),Euro 4,105,"1,598 cc",,,,09/2006,2006,6.8 l/100 km (comb),5.5 l/100 km (country),9 l/100 km (city),,Manual,,5,2,Metallic,Starsilber III M2,Silver,"Cloth, Black",Yes,,,,,,,,,,Germany,,https://www.autoscout24.com/offers/opel-astra-h-1-6-gtc-edition-klimaanlage-pdc-alu-gasoline-silver-ba56e7a9-015d-4a18-be2b-58358e29c761?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Renault Twingo,Renault,Dynamique Tüv 09-22 Panorama Klima Servo,"€ 2,290.-",149448,Used,Twingo,Sedans,Super 95,,135 g/km (comb),4 (Green),Euro 4,76,"1,149 cc",4,,,12/2007,2007,5.7 l/100 km (comb),4.7 l/100 km (country),7.5 l/100 km (city),,Manual,5,4,3,Metallic,PERLMUTT-SCHWARZ,Black,Cloth,,09/2022,02/2021,,,,Front,3333/APL,"1,030 kg",,Germany,K-210423-004,https://www.autoscout24.com/offers/renault-twingo-dynamique-tuev-09-22-panorama-klima-servo-gasoline-black-95d7bc9a-561f-4419-8771-26b91c1b3eab?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Peugeot Partner,Peugeot,1.4i 5 places Euro4,"€ 2,290.-",182100,Used,Partner,Van,Gasoline,,175 g/km (comb),,Euro 4,75,"1,360 cc",4,,,11/2006,2006,7.4 l/100 km (comb),6.2 l/100 km (country),9.6 l/100 km (city),,Manual,5,5,6,,,Red,"Cloth, Grey",,,,,,,,,"1,272 kg",,,,https://www.autoscout24.com/offers/peugeot-partner-1-4i-5-places-euro4-gasoline-red-7194429f-4af0-4be5-9c10-2fdd069206a7?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Ford Focus,Ford,Turnier 1.6 TDCi DPF Style+ Navi Sportsitz,"€ 2,294.-",202545,Used,Focus,Station wagon,Diesel (Particulate Filter),,127 g/km (comb),4 (Green),Euro 5,109,"1,560 cc",4,,,05/2010,2010,4.8 l/100 km (comb),4 l/100 km (country),6.2 l/100 km (city),,Manual,5,5,5,Metallic,Blazer Blau Metallic,Blue,"Cloth, Black",,,,,,,,8566/ABJ,"1,391 kg",,Germany,SAS15713,https://www.autoscout24.com/offers/ford-focus-turnier-1-6-tdci-dpf-style-navi-sportsitz-diesel-blue-024ef9c2-e42f-4590-bd70-274e9f93613e?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Citroen C4 Picasso,Citroen,Export / Handelaar,"€ 2,300.-",203000,Used,C4 Picasso,Sedans,Diesel,,,,,-,"1,600 cc",,0 months,,05/2010,2010,,,,,Manual,,,,Metallic,,Bronze,"Other, Black",,,,,,,,,,,,,https://www.autoscout24.com/offers/citroen-c4-picasso-export-handelaar-diesel-bronze-0132cd1b-7623-43a2-8a0c-61137d5ddb2d?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Opel Astra,Opel,1.7,"€ 2,300.-",155000,Used,Astra,Station wagon,Diesel,,119 g/km (comb),,Euro 4,110,"1,686 cc",4,,1,12/2010,2010,4.5 l/100 km (comb),3.9 l/100 km (country),5.5 l/100 km (city),,Manual,6,5,5,,,Blue,"Cloth, Black",,,,,,,Front,,"1,393 kg",,Belgium,,https://www.autoscout24.com/offers/opel-astra-1-7-diesel-blue-d36fb460-a238-49ec-b423-960258b5f32d?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Opel Corsa,Opel,"D Innovation ""110 Jahre"" KLIMAAUTO TEMPO","€ 2,399.-",232000,Used,Corsa,Compact,Diesel,,132 g/km (comb),4 (Green),Euro 4,125,"1,686 cc",,,,11/2009,2009,4.9 l/100 km (comb),4.1 l/100 km (country),6.3 l/100 km (city),,Manual,,5,4,,Ultrablau Mineraleffekt,Blue,"Part leather, Grey",,06/2022,,,,,,,,,,5874,https://www.autoscout24.com/offers/opel-corsa-d-innovation-110-jahre-klimaauto-tempo-diesel-blue-5fd4e82b-5a44-4b10-a941-bd2e7f053e3a?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Opel Corsa,Opel,1.3 CDTi,"€ 2,400.-",201000,Used,Corsa,Sedans,Diesel,,115 g/km (comb),,Euro 5,95,"1,248 cc",4,,,05/2012,2012,4.4 l/100 km (comb),3.8 l/100 km (country),5.4 l/100 km (city),,Manual,5,5,3,,,Grey,"Cloth, Black",,,06/2017,,,,Front,,"1,100 kg",,Belgium,,https://www.autoscout24.com/offers/opel-corsa-1-3-cdti-diesel-grey-1df0aa2a-8931-4231-8402-5900956789ee?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Toyota Avensis,Toyota,Kombi 1.8 Sol,"€ 2,450.-",247950,Used,Avensis,Station wagon,Regular/Benzine 91,,171 g/km (comb),,,129,"1,794 cc",,,,10/2004,2004,7.2 l/100 km (comb),5.8 l/100 km (country),9.4 l/100 km (city),,Manual,,5,4,Metallic,kirschrot,Red,"Cloth, Black",,,,,,,,,,,,092370,https://www.autoscout24.com/offers/toyota-avensis-kombi-1-8-sol-gasoline-red-36ee149a-33c1-4c6f-90e5-a9d1ee2f7102?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Mercedes-Benz C 200,Mercedes-Benz,Sportcoupe C 200 K Sport-Paket Klima Tempomat,"€ 2,450.-",190713,Used,C 200,Coupe,Regular/Benzine 91,,228 g/km (comb),4 (Green),Euro 4,163,"1,998 cc",,,,03/2004,2004,9.5 l/100 km (comb),7.2 l/100 km (country),13.6 l/100 km (city),,Automatic,,4,2,Metallic,brillantsilber metallic,Silver,"Cloth, Grey",,02/2022,,,,,,,,,,Kun.Auf.,https://www.autoscout24.com/offers/mercedes-benz-c-200-sportcoupe-c-200-k-sport-paket-klima-tempomat-gasoline-silver-42f2f616-ae5a-4f18-881a-f01ea3732100?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Mazda 5,Mazda,2.0 CD Top 7-Sitzer Navi Xenon Klima Tempomat,"€ 2,450.-",216000,Used,5,Van,Diesel (Particulate Filter),,167 g/km (comb),,Euro 4,143,"1,998 cc",4,,1,01/2006,2006,6.3 l/100 km (comb),5.7 l/100 km (country),7.3 l/100 km (city),,Manual,6,7,5,Metallic,sunlight silver,Silver,Cloth,,05/2021,,,,,Front,,,,Germany,8468,https://www.autoscout24.com/offers/mazda-5-2-0-cd-top-7-sitzer-navi-xenon-klima-tempomat-diesel-silver-3b4ff54a-aa88-42fe-8716-102f7a9a931a?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Opel Combo,Opel,1.4 Radio AHK eFH ZV Schiebetüren,"€ 2,450.-",140000,Used,Combo,Van,Super 95,,0 g/km (comb),,Euro 4,90,"1,364 cc",,,1,11/2007,2007,,,,,Manual,5,5,4,,royalblau,Blue,Cloth,,01/2021,,,,,Front,,,,Germany,2489,https://www.autoscout24.com/offers/opel-combo-1-4-radio-ahk-efh-zv-schiebetueren-gasoline-blue-c1b7c5f7-0722-4b68-a595-40888bb7b6a5?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Kia Rio,Kia,1.6 EX Gasanlage Klima el.Fenster,"€ 2,450.-",179000,Used,Rio,Sedans,Liquid petroleum gas (LPG),,153 g/km (comb),4 (Green),Euro 4,111,"1,599 cc",,,,03/2006,2006,6.5 l/100 km (comb),5.4 l/100 km (country),8.4 l/100 km (city),,Manual,,5,4,Metallic,SAPHIRBLAU MET.,Blue,"Cloth, Black",Yes,,,,,,,,,,,414506328,https://www.autoscout24.com/offers/kia-rio-1-6-ex-gasanlage-klima-el-fenster-lpg-blue-67b9fb8d-fa40-40c2-99bc-dc5f7e775030?cldtidx=1&cldtsrc=listPage&searchId=1964176808
SEAT Alhambra,SEAT,1.8 20V Turbo Vigo*Tempomat*PDC*Sitzhzg,"€ 2,480.-",227133,Used,Alhambra,Van,Regular/Benzine 91,,0 g/km (comb),4 (Green),Euro 4,150,"1,781 cc",4,,3,05/2006,2006,,,,,Manual,6,5,5,,Perlblau,Blue,Cloth,,,,,,,Front,7593/AAM,"1,599 kg",,,12353,https://www.autoscout24.com/offers/seat-alhambra-1-8-20v-turbo-vigo-tempomat-pdc-sitzhzg-gasoline-blue-1cc0c3fc-068c-4496-b342-6f02eaa4f392?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Mercedes-Benz E 320,Mercedes-Benz,T CDI AUT. NAVI BI-XENON SCHIEBEDACH LEDER,"€ 2,480.-",340000,Used,E 320,Station wagon,Diesel,,193 g/km (comb),4 (Green),Euro 4,204,"3,222 cc",,,3,02/2004,2004,7.3 l/100 km (comb),6.7 l/100 km (country),10.7 l/100 km (city),,Automatic,,5,4,Metallic,tealitblau metallic,Blue,"Part leather, Black",,,,,,,,,,,Germany,A514972,https://www.autoscout24.com/offers/mercedes-benz-e-320-t-cdi-aut-navi-bi-xenon-schiebedach-leder-diesel-blue-5ee13920-5998-4603-aeb4-6c86d82c0173?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Mazda MX-3,Mazda,SD Alu V6 133PS,"€ 2,480.-",165000,Used,MX-3,Coupe,Super 95,,0 g/km (comb),,,133,"1,845 cc",4,,1,05/1993,1993,,,,,Manual,,4,2,,rot,Red,Cloth,,06/2021,,,,,,,,,,4570,https://www.autoscout24.com/offers/mazda-mx-3-sd-alu-v6-133ps-gasoline-red-bcd21a86-6aad-4ec0-9071-f5684d1691d4?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Peugeot 207,Peugeot,sw 1.4 Panoramadach,"€ 2,490.-",115434,Used,207,Station wagon,Super 95 / Super Plus 98 / Super E10 95 / Super Plus E10 98,Super Plus 98,,1 (No sticker),,95,"1,397 cc",,,,07/2009,2009,,,,,Manual,5,5,5,,Schwarz,Black,"Cloth, Black",,09/2021,,,,,,3003/AFT,"1,052 kg",,Germany,d21983,https://www.autoscout24.com/offers/peugeot-207-sw-1-4-panoramadach-gasoline-black-a60910d2-fe16-402c-bbe4-0c38598a800a?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Volkswagen Golf,Volkswagen,1.6 Cabrio *Leder * Sitzheizung 1.6 100PS,"€ 2,490.-",156250,Used,Golf,Convertible,Super 95,,,3 (Yellow),Euro 3,101,"1,595 cc",4,12 months,2,03/1999,1999,,,,,Manual,5,,2,Metallic,Schwarz,Black,"Full leather, Black",Yes,,,,,,Front,0603/375,"1,230 kg",,European Union,10201,https://www.autoscout24.com/offers/volkswagen-golf-1-6-cabrio-leder-sitzheizung-1-6-100ps-gasoline-black-f48a5932-95da-4fb8-8621-4123cba570a6?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Opel Astra,Opel,G 2.2 16V Coupe*Klima*2.Hd*TOP*,"€ 2,490.-",178269,Used,Astra,Coupe,Regular/Benzine 91,,209 g/km (comb),4 (Green),Euro 3,147,"2,198 cc",,,2,09/2000,2000,8.7 l/100 km (comb),6.6 l/100 km (country),12.3 l/100 km (city),,Manual,,4,2,Metallic,Capriegelb Mi2,Yellow,"Cloth, Black",,09/2021,,,,,,,,,Germany,,https://www.autoscout24.com/offers/opel-astra-g-2-2-16v-coupe-klima-2-hd-top-gasoline-yellow-095f635d-4c07-4856-9c57-c681cd8b1c70?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Renault Twingo,Renault,"Dynamique""wird im Kundenauftrag verkauft","€ 2,490.-",129950,Used,Twingo,Compact,Super 95 / Super E10 95,Super E10 95,135 g/km (comb),4 (Green),Euro 4,76,"1,149 cc",4,,2,10/2007,2007,5.7 l/100 km (comb),4.7 l/100 km (country),7.5 l/100 km (city),,Manual,5,4,3,,Baby Elefanten Grau,Grey,"Cloth, Grey",,09/2022,11/2020,,,,,3333/APL,,,Germany,Elzach/527199,https://www.autoscout24.com/offers/renault-twingo-dynamique-wird-im-kundenauftrag-verkauft-gasoline-grey-03210c1e-f106-4cb6-8dd3-03f2ac05a040?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Volkswagen Polo,Volkswagen,"Basis IV (9N1) *HU(TÜV) neu, Inspektion neu*","€ 2,490.-",157500,Used,Polo,Compact,Super 95,,161 g/km (comb),4 (Green),Euro 4,75,"1,390 cc",4,,,12/2003,2003,6.7 l/100 km (comb),5.6 l/100 km (country),9 l/100 km (city),,Manual,5,5,3,Metallic,blue-anthrazit perleffekt,Blue,"Cloth, Grey",Yes,,,,,,Front,0603/657,,,,Denz/09860,https://www.autoscout24.com/offers/volkswagen-polo-basis-iv-9n1-hu-tuev-neu-inspektion-neu-gasoline-blue-19f9680a-4262-4ee0-b027-373667959271?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Volvo S40,Volvo,Lim. 1.6,"€ 2,490.-",205390,Used,S40,Sedans,Regular/Benzine 91,,171 g/km (comb),4 (Green),Euro 4,101,"1,596 cc",,,3,05/2005,2005,7.2 l/100 km (comb),5.8 l/100 km (country),9.5 l/100 km (city),,Manual,,5,4,Metallic,TITANIUM GREY PEARL / Metallic,Grey,"Cloth, Black",,11/2022,,,,,,,,,European Union,15677,https://www.autoscout24.com/offers/volvo-s40-lim-1-6-gasoline-grey-b94fc32a-f44c-41f4-8591-4516c7f6a90f?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Mercedes-Benz E 250,Mercedes-Benz,Diesel T-Modell,"€ 2,490.-",249000,Used,E 250,Station wagon,Diesel (Particulate Filter),,0 g/km (comb),1 (No sticker),,113,"2,497 cc",4,,3,01/1995,1995,,,,,Manual,5,5,5,,imperialrot,Red,"Cloth, Black",,,,,,,,,,,Germany,581,https://www.autoscout24.com/offers/mercedes-benz-e-250-diesel-t-modell-diesel-red-57948113-c20b-426b-8962-6f76ffebfc35?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Mercedes-Benz A 190,Mercedes-Benz,A -Klasse A 190 *Rentnerfahrzeug* ALLWETTER*,"€ 2,490.-",150935,Used,A 190,Compact,Regular/Benzine 91,,178 g/km (comb),4 (Green),Euro 3,125,"1,898 cc",,,2,05/2002,2002,7.5 l/100 km (comb),,,,Semi-automatic,,5,4,Metallic,,Black,"Cloth, Grey",,01/2022,,,,,,,,,,,https://www.autoscout24.com/offers/mercedes-benz-a-190-a-klasse-a-190-rentnerfahrzeug-allwetter-gasoline-black-ed7ec012-4392-4b39-9398-ba408335e7cc?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Ford Mondeo,Ford,Turnier Viva KLIMAAUTO AHK FEST,"€ 2,499.-",142000,Used,Mondeo,Station wagon,Regular/Benzine 91,,179 g/km (comb),4 (Green),Euro 4,131,"1,798 cc",,,,03/2005,2005,7.4 l/100 km (comb),5.9 l/100 km (country),10.1 l/100 km (city),,Manual,,5,4,Metallic,Atlantik-Blau Metallic,Blue,"Cloth, Black",,11/2021,,,,,,,,,,9995,https://www.autoscout24.com/offers/ford-mondeo-turnier-viva-klimaauto-ahk-fest-gasoline-blue-32cd1846-fab8-4ede-b117-a166d9104298?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Mitsubishi Space Star,Mitsubishi,1.6 98PS Invite 1600 Klimaanlage USB,"€ 2,499.-",122357,Used,Space Star,Van,Regular/Benzine E10 91,,171 g/km (comb),4 (Green),Euro 4,98,"1,584 cc",,,2,09/2005,2005,7.2 l/100 km (comb),6 l/100 km (country),9.3 l/100 km (city),,Manual,,5,4,Metallic,COSMIC SILBER,Silver,"Cloth, Black",,01/2022,,,,,,,,,Germany,235,https://www.autoscout24.com/offers/mitsubishi-space-star-1-6-98ps-invite-1600-klimaanlage-usb-gasoline-silver-76c5ce76-2606-4644-8c6b-89cc16bec23d?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Volkswagen Passat,Volkswagen,Klima/Elektrische FH/ZV/Airb./FAHRTÜCHTIG,"€ 2,590.-",113859,Used,Passat,Sedans,Super 95 / Super Plus 98 / Regular/Benzine 91,Super Plus 98,0 g/km (comb),4 (Green),,90,"1,781 cc",4,12 months,2,07/1994,1994,,,,,Manual,,5,4,Metallic,gruen,Green,"Cloth, Grey",Yes,,,,,,,0600/736,,,Germany,2018114 GW__1,https://www.autoscout24.com/offers/volkswagen-passat-klima-elektrische-fh-zv-airb-fahrtuechtig-gasoline-green-8f7fa0ba-eef3-4a5d-a33c-5a01ebc3e1e7?cldtidx=1&cldtsrc=listPage&searchId=1964176808
BMW 320,BMW,3er touring guter Zustand Tüv Neu,"€ 2,599.-",135000,Used,320,Station wagon,Gasoline,,215 g/km (comb),4 (Green),Euro 4,150,"1,991 cc",6,,,10/1995,1995,9.1 l/100 km (comb),6.8 l/100 km (country),10 l/100 km (city),,Manual,5,5,5,Metallic,,Blue,,,05/2023,05/2021,,,,,0005/555,"1,420 kg",,,,https://www.autoscout24.com/offers/bmw-320-3er-touring-guter-zustand-tuev-neu-gasoline-blue-474e55a8-7742-4312-a924-13bc4dcab768?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Volkswagen Polo,Volkswagen,"Trendline TÜV Neu 59 kW (80 PS), Schaltgetriebe...","€ 2,600.-",197000,Used,Polo,Compact,Super 95,,152 g/km (comb),4 (Green),Euro 4,80,"1,390 cc",4,,3,01/2008,2008,6.4 l/100 km (comb),5.2 l/100 km (country),8.5 l/100 km (city),,Manual,,5,5,Metallic,Reflexsilber Metallic,Silver,"Cloth, Grey",,04/2023,,,,,Front,0603/AKC,"1,015 kg",,European Union,81671,https://www.autoscout24.com/offers/volkswagen-polo-trendline-tuev-neu-59-kw-80-ps-schaltgetriebe-gasoline-silver-626b6141-de66-41b2-b139-ab83d191531e?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Ford C-Max,Ford,2.0 FUN * AUTOMATIC * AHK * NAVI * SITZHEIZUNG *,"€ 2,690.-",128600,Used,C-Max,Sedans,Super 95,,194 g/km (comb),4 (Green),Euro 4,145,"1,999 cc",4,,2,12/2005,2005,8.1 l/100 km (comb),6.2 l/100 km (country),11.3 l/100 km (city),,Automatic,4,5,5,Metallic,Polarsilber Metallic,Silver,"Cloth, Grey",,03/2023,,,,,,8566/AAG,"1,408 kg",,European Union,M5E51760,https://www.autoscout24.com/offers/ford-c-max-2-0-fun-automatic-ahk-navi-sitzheizung-gasoline-silver-6af1cbdf-7063-4b3b-8a6c-38409c85bcee?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Nissan X-Trail,Nissan,2.2 dCi All-Mode 4WD,"€ 2,690.-",299950,Used,X-Trail,Off-Road/Pick-up,Diesel,,,4 (Green),Euro 3,136,"2,184 cc",,,,05/2005,2005,,,,,Manual,6,,,,silber,Silver,"Cloth, Other",,08/2020,,,,,,,,,Germany,3172_62922,https://www.autoscout24.com/offers/nissan-x-trail-2-2-dci-all-mode-4wd-diesel-silver-4a0f7c19-5d8b-4056-ad2d-b5d510c862dc?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Peugeot 207,Peugeot,1.4i Benzine - Radio,"€ 2,750.-",157128,Used,207,Compact,Gasoline,,150 g/km (comb),,Euro 4,73,"1,360 cc",4,,2,06/2007,2007,,,,,Manual,5,5,2,,Grijs,Grey,"Cloth, Black",,,,,,,Front,,,,,21-0610,https://www.autoscout24.com/offers/peugeot-207-1-4i-benzine-radio-gasoline-grey-f860b791-1884-497d-9c2f-0f4d20e2676d?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Peugeot 207,Peugeot,"1.6 HDi 99g FAP CLIM, VE, RADIO CD","€ 2,750.-",201961,Used,207,Sedans,Diesel,,99 g/km (comb),,Euro 4,90,"1,560 cc",4,,1,03/2011,2011,3.8 l/100 km (comb),3.3 l/100 km (country),4.6 l/100 km (city),,Manual,5,5,3,Metallic,,Grey,"Cloth, Grey",,,,,,,Front,,"1,260 kg",,Belgium,,https://www.autoscout24.com/offers/peugeot-207-1-6-hdi-99g-fap-clim-ve-radio-cd-diesel-grey-bec14039-74b5-42f3-9c68-5af5295fc2d1?cldtidx=1&cldtsrc=listPage&searchId=1964176808
