name,Make,variant,price,mileage,Type,Model,Body,Fuel,Other Fuel Types,CO2 Emission,Emission Label,Emission Class,horse power,Displacement,Cylinders,Warranty,Previous Owners,first registration,First Registration,Consumption,consumption_country,consumption_city,Electricity consumption,Gearing Type,Gears,Nr. of Seats,Nr. of Doors,Paint Type,Body Color Original,Body Color,Upholstery,Inspection new,Next Inspection,Last Service Date,Full Service,Last Timing Belt Service Date,Perm. GVW,Drive chain,Model Code,Weight,Non-smoking Vehicle,Country version,Offer Number,url_address
Toyota Aygo,Toyota,AYGO - Allwetter,"€ 3,990.-",73001,Used,Aygo,Compact,Regular/Benzine 91,,109 g/km (comb),4 (Green),,68,998 cc,,,,07/2009,2009,4.6 l/100 km (comb),4.1 l/100 km (country),5.5 l/100 km (city),,Manual,,4,2,Metallic,graphitblau metallic,Blue,"Cloth, Black",Yes,,,,,,,,,,Germany,14238,https://www.autoscout24.com/offers/toyota-aygo-aygo-allwetter-gasoline-blue-d2d4fc58-4f24-4bf3-b50e-67efaeec45d2?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Citroen C2,Citroen,1.6 16V VTS 122 PS+KLIMAAUTOMATIK+CD-RADIO+WINTERR,"€ 3,990.-",54500,Used,C2,Compact,Super 95,,,4 (Green),Euro 4,122,"1,587 cc",,,2,01/2006,2006,,,,,Manual,5,,,,x,,"Cloth, Other",Yes,,,,,,,3001/829,,,Germany,2044_62981,https://www.autoscout24.com/offers/citroen-c2-1-6-16v-vts-122-ps-klimaautomatik-cd-radio-winterr-gasoline-e01a80d9-404e-4540-923d-c2085ef57a71?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Fiat,Fiat,Ducato 30 MJ100 L1H1,"€ 3,990.-",177796,Used,,Panel van,Diesel,,,4 (Green),Euro 4,101,"2,198 cc",,,2,01/2011,2011,,,,,Manual,5,2,5,,Gelb,Yellow,"Cloth, Grey",,04/2021,,,,,,4136/ADL,,,Germany,g21702,https://www.autoscout24.com/offers/fiat-ducato-30-mj100-l1h1-diesel-yellow-1aace40e-a5c3-45ea-a430-9d6d7d5d0b62?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Renault Twingo,Renault,Night & Day,"€ 3,990.-",88841,Used,Twingo,Compact,Super 95,,135 g/km (comb),4 (Green),Euro 5,76,"1,149 cc",,,1,06/2009,2009,5.7 l/100 km (comb),4.7 l/100 km (country),7.5 l/100 km (city),,Manual,5,4,3,,Weiss Glacier,White,"Cloth, Grey",,05/2022,,,,,,3333/APL,"1,030 kg",,Germany,jc-g5097,https://www.autoscout24.com/offers/renault-twingo-night-day-gasoline-white-e04712c8-fc5b-4471-8c4d-2991dafa1d7a?cldtidx=1&cldtsrc=listPage&searchId=1964176808
BMW 316,BMW,i Compact Wenig Km Klima Top-Zustand,"€ 3,990.-",135000,Used,316,Coupe,Gasoline,,,4 (Green),Euro 3,102,"1,596 cc",,,,11/1994,1994,,,,,Manual,,5,2,Metallic,grün,Green,Cloth,Yes,,,,,,,0005/541,,,Germany,,https://www.autoscout24.com/offers/bmw-316-i-compact-wenig-km-klima-top-zustand-gasoline-green-933efec1-d481-455a-aa6e-7794daf5d3a3?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Mercedes-Benz A 180,Mercedes-Benz,CDI Classic Facelift Klima Navi MFL,"€ 3,990.-",189000,Used,A 180,Sedans,Diesel,,138 g/km (comb),4 (Green),Euro 5,109,"1,991 cc",,,,05/2010,2010,5.2 l/100 km (comb),4.4 l/100 km (country),6.5 l/100 km (city),,Manual,,5,4,Metallic,KOSMOSSCHWARZ - METALLICLACK,Black,"Cloth, Black",Yes,,,,,,,,,,Germany,,https://www.autoscout24.com/offers/mercedes-benz-a-180-cdi-classic-facelift-klima-navi-mfl-diesel-black-bba24154-2754-4a06-a098-e9e49ea943d5?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Alfa Romeo 155,Alfa Romeo,1.8 Twin Spark Formula*SERVO*EGSD*2.HAND*,"€ 3,990.-",85000,Used,155,Sedans,Gasoline,,,4 (Green),Euro 2,126,"1,773 cc",,,1,02/1995,1995,,,,,Manual,,5,4,,rosso alfa,Red,"Part leather, Black",Yes,,,,,,,4001/625,,,Germany,,https://www.autoscout24.com/offers/alfa-romeo-155-1-8-twin-spark-formula-servo-egsd-2-hand-gasoline-red-f66bdd55-1311-4014-bc9a-c99123244e19?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Lancia Ypsilon,Lancia,1.2 8V Panorama-Schiebedach. 1. Hand TOP,"€ 3,990.-",105100,Used,Ypsilon,Sedans,Regular/Benzine 91,,139 g/km (comb),,,60,"1,242 cc",,,1,06/2007,2007,5.9 l/100 km (comb),5 l/100 km (country),7.5 l/100 km (city),,Manual,,4,2,Metallic,BORROMINI HELLGRAU,Grey,"Cloth, Black",Yes,,,,,,,,,,,,https://www.autoscout24.com/offers/lancia-ypsilon-1-2-8v-panorama-schiebedach-1-hand-top-gasoline-grey-a18efb5e-7c1f-4b8f-b9d0-37d97d0fc271?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Volkswagen Golf,Volkswagen,"IV 1,6 Lim. Aut. Comfortline Schiebedach","€ 3,990.-",122100,Used,Golf,Sedans,Regular/Benzine 91,,211 g/km (comb),4 (Green),,101,"1,595 cc",,,3,05/1999,1999,8.8 l/100 km (comb),6.8 l/100 km (country),12.1 l/100 km (city),,Automatic,,5,2,Metallic,satinsilber metallic,Silver,"Cloth, Black",,,,,,,,,,,Germany,,https://www.autoscout24.com/offers/volkswagen-golf-iv-1-6-lim-aut-comfortline-schiebedach-gasoline-silver-aa71dbd7-48cd-4c5f-b055-945a22a6f5b3?cldtidx=1&cldtsrc=listPage&searchId=1964176808
Peugeot 207,Peugeot,Urban Move - Klima / Leichtmetallfelgen,"€ 3,990.-",122414,Used,207,Sedans,Regular/Benzine 91,,145 g/km (comb),4 (Green),Euro 4,95,"1,397 cc",,,2,11/2008,2008,6.1 l/100 km (comb),5 l/100 km (country),8.1 l/100 km (city),,Manual,,5,2,Metallic,GELB LACERTA/METALLIC-LACKIERU,Yellow,"Cloth, Black",Yes,,,,,,,,,,Germany,13775,https://www.autoscout24.com/offers/peugeot-207-urban-move-klima-leichtmetallfelgen-gasoline-yellow-87b75467-2ceb-4c77-b2cb-a49f3d69ad4e?cldtidx=1&cldtsrc=listPage&searchId=1964176808
